"","dimension","Birth","Death"
"1",0,0,0
"2",0,0,2
"3",0,0,0.0673459323196286
"4",0,0,0.0643000194401215
"5",0,0,0.05898974995709
"6",0,0,0.0592292968048752
"7",0,0,0.0782230944159076
"8",0,0,0.0534205391212032
"9",0,0,0.0431708443280879
"10",0,0,0.0767104751647388
"11",0,0,0.0307112764306533
"12",0,0,0.0842953106643543
"13",0,0,0.0593874439591401
"14",0,0,0.0489999204080987
"15",0,0,0.0144448191404392
"16",0,0,0.0369095461906537
"17",0,0,0.0912816109629974
"18",0,0,0.0541633621556121
"19",0,0,0.0274314600413467
"20",0,0,0.0192898574385608
"21",0,0,0.0289116239599231
"22",0,0,0.0431176344434618
"23",0,0,0.0339641354961377
"24",0,0,0.0421740548204699
"25",0,0,0
"26",0,0,2
"27",0,0,0.0817765889481825
"28",0,0,0.052995473391602
"29",0,0,0.0499623478231358
"30",0,0,0.0585094565006376
"31",0,0,0.0672514631811086
"32",0,0,0.0575230823235334
"33",0,0,0.118098118951997
"34",0,0,0.086558711288928
"35",0,0,0.0481534318610834
"36",0,0,0.0366644255375698
"37",0,0,0.0448989465355258
"38",0,0,0.0456749230979101
"39",0,0,0.0275017181281461
"40",0,0,0.0160696484093461
"41",0,0,0.040366725158229
"42",0,0,0.033331266102565
"43",0,0,0.0147585636157453
"44",0,0,0.0174596706727246
"45",0,0,0.0274701474331682
"46",0,0,0.0103567610767073
"47",0,0,0.0148311159391328
"48",0,0,0.0137405094519818
"49",0,0,0
"50",0,0,2
"51",0,0,0.0843372782344795
"52",0,0,0.0775113082072545
"53",0,0,0.0767067767540782
"54",0,0,0.121895136900534
"55",0,0,0.154444267294063
"56",0,0,0.0685556416350982
"57",0,0,0.0932549644791097
"58",0,0,0.123572696417939
"59",0,0,0.0244418677682374
"60",0,0,0.153047535426089
"61",0,0,0.0901942625669726
"62",0,0,0.0838881427854974
"63",0,0,0.0135208764508814
"64",0,0,0.0706028760037437
"65",0,0,0.0400619744895331
"66",0,0,0.054930473327653
"67",0,0,0.0733690513772667
"68",0,0,0.0495848363917841
"69",0,0,0.0764392111419264
"70",0,0,0.0754720140184426
"71",0,0,0.0530605625676924
"72",0,0,0.0699173805287355
"73",0,0,0
"74",0,0,2
"75",0,0,0.0740514955959703
"76",0,0,0.0625824080712783
"77",0,0,0.0286541480417757
"78",0,0,0.0931845829523318
"79",0,0,0.0995792146986508
"80",0,0,0.0191701043293979
"81",0,0,0.0120798178794219
"82",0,0,0.013932038616082
"83",0,0,0.0592047582547214
"84",0,0,0.00215102301242921
"85",0,0,0.014040697988348
"86",0,0,0.0314995365045265
"87",0,0,0.0306583251336403
"88",0,0,0.0305280215539756
"89",0,0,0.0980946609148531
