"","dimension","Birth","Death"
"1",0,0,0
"2",0,0,2
"3",0,0,0.0160230958307064
"4",0,0,0.0638191891205145
"5",0,0,0.0703899495666818
"6",0,0,0.0535733907831117
"7",0,0,0.0268004720107688
"8",0,0,0.0447740036181711
"9",0,0,0.0276015959683494
"10",0,0,0.035958794473675
"11",0,0,0.0580348464286759
"12",0,0,0.0294628477917529
"13",0,0,0.0534877369123054
"14",0,0,0.0344108834527683
"15",0,0,0.0172820195579105
"16",0,0,0.0691921968143807
"17",0,0,0.0241446308731362
"18",0,0,0.0546970794467127
"19",0,0,0.0501914026502547
"20",0,0,0.0517449166585472
"21",0,0,0.0310473509336948
"22",0,0,0
"23",0,0,2
"24",0,0,0.149774137286783
"25",0,0,0.126796401368493
"26",0,0,0.0599957681840978
"27",0,0,0.0716046262471916
"28",0,0,0.107969851810586
"29",0,0,0.0766615966439521
"30",0,0,0.0530475268038011
"31",0,0,0.0417639677233857
"32",0,0,0.0856374684352591
"33",0,0,0.101200636855704
"34",0,0,0.0225005088831342
"35",0,0,0.223981321765901
"36",0,0,0.152466086720949
"37",0,0,0.0382669622520524
"38",0,0,0.0632583670355155
"39",0,0,0.141337074046409
"40",0,0,0.118611166422053
"41",0,0,0.0833159048441533
"42",0,0,0.191597129414822
"43",0,0,0
"44",0,0,2
"45",0,0,0.18252167871242
"46",0,0,0.0802715098898731
"47",0,0,0.149042694554279
"48",0,0,0.0562520621844213
"49",0,0,0.231796976900045
"50",0,0,0.0767198123042542
"51",0,0,0.0593076082808943
"52",0,0,0.0502358756268864
"53",0,0,0.0432306661988917
"54",0,0,0.0440560007263483
"55",0,0,0.0173766279812857
"56",0,0,0.0560681763570031
"57",0,0,0.580260747681592
"58",0,0,0.545763223843454
"59",0,0,0.0427239558093583
"60",0,0,0.0381061110584641
"61",0,0,0.034115533119094
"62",0,0,0.031666745964813
"63",0,0,0.146482169904736
"64",0,0,0
"65",0,0,2
"66",0,0,0.107462747498843
"67",0,0,0.148679026765714
"68",0,0,0.13669668979167
"69",0,0,0.0582137999103305
"70",0,0,0.107548805665149
"71",0,0,0.0361066600504671
"72",0,0,0.09386631451165
"73",0,0,0.0774749417553831
"74",0,0,0.0648555726210169
"75",0,0,0.0420219204701546
"76",0,0,0.0729721625005043
"77",0,0,0.169878280247947
"78",0,0,0.195475241399007
"79",0,0,0.081153539047906
"80",0,0,0.0803893176983111
"81",0,0,0.0106830941210868
"82",0,0,0.0787288289002193
"83",0,0,0.0645153756867307
"84",0,0,0.0344441141561225
"85",0,0,0
"86",0,0,2
"87",0,0,0.133248701306992
"88",0,0,0.158004128110629
"89",0,0,0.131793955855343
"90",0,0,0.044013400232202
"91",0,0,0.147770108614699
